ticket_id,text_snippet,topic,topic_confidence,urgency,urgency_confidence,next_action,needs_more_information,missing_information,clarification_questions,reviewed_by_llm,model_profile,model_name,processing_status,latency_ms,notes
4,"Question About Marketing Agency Software Compatibility Dear Support Team,\n\nI hope this message reaches you well. I am reaching out to ask about the compatibility of your products with the specific needs of marketing agencies. Our company…",Other,0.95,Low,0.95,Ask for more information,True,"Specific names of the current tools/platforms (CRM, email marketing apps, analytics platforms) used by the agency. | The specific product(s) or solution name for which compatibility is being inquired.","Could you please list the exact names of the CRM systems, email marketing applications, and analytics platforms your company currently uses? | Which specific insurance support products are you considering adopting that require this compatibility check?",True,quality,qwen3.5:35b-a3b-q4_K_M,success,139524,"The ticket inquires about software compatibility with marketing tools and CRM systems for a potential business adoption scenario. It does not contain specific insurance policy details, claim incidents, billing issues, or technical access problems (login/portal). Therefore, it falls outside the core, The ticket is a pre-sales inquiry regarding product compatibility and requests for marketing materials (case studies/documentation). It contains no mention of active service outages, data loss, fraud, or immediate operational disruption. Semantic review requested: topic classified as Other. The ticket is a pre-sales inquiry regarding product compatibility. It does not contain specific insurance policy details, claim incidents, billing issues, or technical access problems (login/portal). Therefore, it falls outside the core categories of Policy, Claims, Billing, and Technical Access."
126,"Request to Return Electronic Hardware Items Dear Customer Support Team,\n\nI am reaching out to request the return of several electronic hardware products recently bought from your store. Unfortunately, these items do not meet my expectati…",Other,0.95,Low,0.95,Ask for more information,True,"Order number or purchase date | Customer account identifier (e.g., email address)",Could you please provide the order number associated with this return request? | What is your registered email address for our records?,True,quality,qwen3.5:35b-a3b-q4_K_M,success,7342,"The ticket requests the return of electronic hardware (mouse, USB-C hub, hard drive) purchased from a 'store' due to defects and compatibility issues. This is an e-commerce product return request involving physical goods, not insurance-related matters such as policy terms, claims for insured damage/ The ticket describes a standard product return request due to minor defects and compatibility concerns. The customer states the items are in excellent condition with original packaging. There is no mention of fraud, security risks, service outages, or severe damage requiring immediate intervention. Semantic review requested: topic classified as Other. The ticket describes a product return for electronic hardware purchased from a 'store'. This falls under general e-commerce inquiries, not insurance-specific topics (Policy, Claims, Billing). No immediate risk or severe impact is indicated. Previous assessment correctly identified the topic as Other"
146,"Multiple Product Disruptions Impacting Services Dear Support Team,\n\nWe are currently facing several disruptions across our products that are affecting scanning capabilities, device connectivity, and access to cloud features. These issues…",Technical / Online Access,0.95,High,0.92,Escalate to human supervisor,True,Affected account or channel identifier | Specific observed symptom or error message,"Which specific product, service, or customer account is experiencing the disruptions? | What exact error messages are displayed when scanning capabilities fail or cloud features become inaccessible?",True,quality,qwen3.5:35b-a3b-q4_K_M,success,7167,"The ticket describes disruptions in scanning capabilities, device connectivity, and cloud features caused by a Kubernetes CI/CD pipeline failure. This falls under technical issues regarding system access and functionality. The ticket describes multiple product disruptions affecting core services (scanning, connectivity, cloud access) due to a Kubernetes pipeline failure that persists despite remediation attempts (restarts/redeployments). The explicit request for urgent assistance and the description of 'severe ongoing Semantic review requested: high urgency without an explicit risk signal. The ticket describes a technical failure (Kubernetes CI/CD pipeline) causing multiple service outages. The urgency remains High due to 'severe ongoing' disruption and failed remediation attempts, despite the lack of explicit fraud/security keywords in the text; this fits the definition of an issue '"
183,"Compatibility Issue Dear Customer Support,\n\nI am writing to report a problem related to device incompatibility with healthcare software systems. Recently, I tried to connect a device with various healthcare software platforms but faced o…",Technical / Online Access,0.95,Medium,0.95,Ask for more information,True,"Affected account identifier (e.g., policy number or customer ID) | Specific online channel affected (e.g., mobile app, web portal)",Which specific healthcare software platform is the device failing to connect with? | What error message or behavior do you observe when attempting this connection?,False,quality,qwen3.5:35b-a3b-q4_K_M,success,4517,"The ticket describes a device incompatibility and software communication failure affecting the user's ability to access essential applications. This falls under technical issues regarding system compatibility and functionality. The ticket describes a material operational issue (device incompatibility) hindering the use of essential healthcare applications despite troubleshooting steps taken by the user. However, there is no explicit mention of immediate danger, active fraud, security breaches, data loss, or complete system"
225,"Question Dear Customer Support Team,\n\nI am reaching out to request comprehensive details about data integration processes for analytics platforms compatible with large-scale data repositories. Specifically, I am keen to understand how sy…",Other,0.95,Low,0.95,Ask for more information,True,Customer account or policy number | Specific insurance product context,"Could you please provide your customer ID or the specific policy/account this inquiry relates to? | Is there a particular insurance claim, coverage type, or internal system feature regarding data integration that requires support?",True,quality,qwen3.5:35b-a3b-q4_K_M,success,7868,"The ticket requests technical details regarding data integration, Python-based machine learning environments, big data lakes, and APIs for analytics platforms. This content does not align with any of the defined insurance-support categories (Policy/Contract, Claims/Damage, Billing/Payment, or basic/ The ticket is a routine inquiry requesting general information about data integration processes, Python-based machine learning environments, and API capabilities for analytics platforms. The user explicitly states the need to understand these details for developing investment strategies; there areno Semantic review requested: topic classified as Other. The ticket content discusses Python-based machine learning environments and big data lakes for investment strategies. This does not align with standard insurance topics (Policy/Contract, Claims/Damage, Billing/Payment, Technical/Online Access). The previous assessment correctly identified this as 'O"
385,"Wireless Internet Connection Problems Dear Customer Support Team,\n\nI hope this message reaches you well. I am writing to report persistent issues with the Wi-Fi connection at our office. Over the past few days, the internet has been unre…",Technical / Online Access,0.95,Medium,0.95,Ask for more information,True,"Affected account or channel identifier | Specific observed symptom details (e.g., error codes, frequency of disconnection)","Could you please provide the specific account ID, device serial number, or network name associated with this issue? | Are there any specific error messages displayed on your devices when the connection drops?",False,quality,qwen3.5:35b-a3b-q4_K_M,success,5120,"The ticket describes persistent Wi-Fi connection issues (disconnections, slow speeds) affecting office operations. This falls under technical infrastructure and connectivity problems, which maps to the 'Technical / Online Access' category in the insurance-support taxonomy as it involves a functional The ticket describes persistent internet issues affecting office operations (communication, cloud services, meetings) over several days. This constitutes a material issue requiring timely handling due to reduced productivity and delays. However, the text does not indicate immediate danger, active/fn"
432,Invoicing Issue Currently facing an error during the payment transaction. Kindly help us resolve this problem at your earliest convenience.,Billing / Payment,0.95,Medium,0.9,Ask for more information,True,Invoice or Transaction Reference Number | Specific Error Message or Code,Could you please provide the invoice number or transaction ID associated with this payment error? | What is the exact error message or code displayed during the failed transaction?,False,quality,qwen3.5:35b-a3b-q4_K_M,success,4277,"The ticket explicitly mentions an 'Invoicing Issue' and a failure during the 'payment transaction', which directly aligns with the Billing/Payment category covering invoices and failed payments. The ticket describes a material issue (payment transaction error) requiring timely handling to restore service functionality. However, the text does not explicitly state immediate danger, active fraud, severe ongoing damage beyond the single transaction failure, or complete system outage."
441,"Urgent Report of Security Breach Dear Customer Support Team,\n\nI am urgently reporting a serious security breach involving multiple devices within our network. Continuous monitoring has identified irregular activity indicating possible un…",Technical / Online Access,0.95,High,0.95,Escalate to human supervisor,True,Customer account identifier or policy number associated with the network devices | Specific error messages or logs confirming the unauthorized access,"Which customer account or insurance portal is linked to these affected devices? | What specific error codes, log entries, or symptoms confirm the security breach on the laptop and UniFi Dream Machine?",True,quality,qwen3.5:35b-a3b-q4_K_M,success,6334,"The ticket describes a security breach involving unauthorized access to network devices (laptop, UniFi Dream Machine) and requires technical incident response procedures. This aligns with the 'Technical / Online Access' category covering login issues or other technical problems. The ticket explicitly reports an 'active security breach' with 'unauthorized access to several vital equipment.' The text cites immediate concerns regarding system integrity and confirms that the user has initiated incident response procedures due to detected anomalies. Semantic review requested: high urgency without an explicit risk signal."
444,"Service Interruptions Dear Customer Support Team,\n\nI am submitting a report regarding multiple service disruptions within our systems that are currently hindering project progress and client interactions. These interruptions have conside…",Technical / Online Access,0.95,Medium,0.85,Ask for more information,True,Affected account or channel identifier | Specific observed symptom or error message,"Which specific system, portal, or device (account/channel) is experiencing the service interruption? | What exact error messages are displayed, or what specific behavior indicates the failure beyond 'network hardware connectivity'?",True,quality,qwen3.5:35b-a3b-q4_K_M,success,6328,"The ticket describes service interruptions related to network hardware connectivity and system access issues requiring troubleshooting (rebooting devices), which aligns with the 'Technical / Online Access' category covering technical issues. The ticket reports multiple service disruptions causing widespread network hardware failure, reduced operational productivity, and missed deadlines despite basic troubleshooting attempts. Semantic review requested: high urgency without an explicit risk signal. The ticket describes technical issues regarding network hardware and access. Urgency was adjusted from High to Medium because while productivity is impacted, there is no explicit evidence of immediate danger, active fraud, severe ongoing damage (like data loss), or a complete service outage as per '"
464,"Excel 2021 Formula Error Notification Following the latest Windows update, formulas in Excel 2021 are returning #VALUE! errors, which interfere with data analysis. We suspect there may be a compatibility issue with macros. After restarting…",Technical / Online Access,0.95,Medium,0.95,Ask for more information,True,Affected account or channel | Observed symptom or error details specific to insurance systems,"Which specific online portal, mobile app, or internal system are you accessing when the Excel issue occurs? | Is this a general Microsoft Office problem on your machine, or is it occurring within an insurance-specific application that uses Excel?",False,quality,qwen3.5:35b-a3b-q4_K_M,success,4121,"The ticket describes a software application error (Excel) and compatibility issues following an OS update. This falls under technical support for tools used by the organization or customer, mapping to 'Technical / Online Access' as it involves troubleshooting non-insurance specific software behavior The ticket describes a material operational issue (formula errors interfering with data analysis) that persists after basic troubleshooting steps. It does not indicate immediate danger, fraud, security risks, or complete service outage."
489,"Immediate Help Needed for Video Conference System Connectivity Issues Dear Customer Support,\n\nI am writing to urgently request assistance regarding ongoing connection problems with our video conferencing system. Despite attempts to resol…",Technical / Online Access,0.95,Medium,0.95,Ask for more information,True,"Affected account identifier (e.g., policy number, customer ID) | Specific observed symptom or error message",Could you please provide the specific account identifier associated with this issue? | What is the exact error message displayed or what specific behavior indicates the connectivity problem?,False,quality,qwen3.5:35b-a3b-q4_K_M,success,4133,"The ticket describes connectivity issues with a video conferencing system and mentions troubleshooting steps like rebooting hardware and updating drivers. This falls under technical support for software or network configuration problems. The ticket describes an ongoing connectivity issue hindering effective communication and states that basic troubleshooting (reboots, driver updates) has failed. While the user uses urgent language ('Immediate Help Needed'), there is no explicit mention of immediate danger, active fraud, security bre"
